Degree: 36, Frequency: 287
Degree: 548, Frequency: 1
Degree: 168, Frequency: 19
Degree: 102, Frequency: 91
Degree: 300, Frequency: 3
Degree: 234, Frequency: 8
Degree: 432, Frequency: 1
Degree: 52, Frequency: 150
Degree: 498, Frequency: 1
Degree: 184, Frequency: 14
Degree: 118, Frequency: 47
Degree: 316, Frequency: 4
Degree: 250, Frequency: 9
Degree: 448, Frequency: 2
Degree: 4, Frequency: 1719
Degree: 516, Frequency: 1
Degree: 136, Frequency: 41
Degree: 70, Frequency: 124
Degree: 268, Frequency: 7
Degree: 202, Frequency: 9
Degree: 400, Frequency: 1
Degree: 20, Frequency: 479
Degree: 466, Frequency: 1
Degree: 152, Frequency: 29
Degree: 86, Frequency: 85
Degree: 284, Frequency: 6
Degree: 218, Frequency: 10
Degree: 416, Frequency: 1
Degree: 350, Frequency: 3
Degree: 100, Frequency: 61
Degree: 34, Frequency: 293
Degree: 232, Frequency: 7
Degree: 166, Frequency: 22
Degree: 364, Frequency: 1
Degree: 298, Frequency: 6
Degree: 1008, Frequency: 1
Degree: 116, Frequency: 39
Degree: 50, Frequency: 157
Degree: 562, Frequency: 1
Degree: 248, Frequency: 9
Degree: 182, Frequency: 26
Degree: 380, Frequency: 1
Degree: 314, Frequency: 3
Degree: 512, Frequency: 1
Degree: 68, Frequency: 97
Degree: 2, Frequency: 1282
Degree: 514, Frequency: 1
Degree: 200, Frequency: 12
Degree: 134, Frequency: 32
Degree: 646, Frequency: 2
Degree: 332, Frequency: 5
Degree: 266, Frequency: 8
Degree: 84, Frequency: 96
Degree: 18, Frequency: 510
Degree: 216, Frequency: 16
Degree: 150, Frequency: 34
Degree: 348, Frequency: 5
Degree: 282, Frequency: 5
Degree: 420, Frequency: 1
Degree: 40, Frequency: 205
Degree: 172, Frequency: 20
Degree: 106, Frequency: 73
Degree: 304, Frequency: 4
Degree: 238, Frequency: 7
Degree: 370, Frequency: 2
Degree: 56, Frequency: 157
Degree: 188, Frequency: 14
Degree: 700, Frequency: 1
Degree: 122, Frequency: 56
Degree: 254, Frequency: 4
Degree: 388, Frequency: 2
Degree: 322, Frequency: 3
Degree: 8, Frequency: 1267
Degree: 140, Frequency: 34
Degree: 74, Frequency: 99
Degree: 272, Frequency: 6
Degree: 206, Frequency: 8
Degree: 404, Frequency: 1
Degree: 338, Frequency: 4
Degree: 24, Frequency: 445
Degree: 470, Frequency: 1
Degree: 156, Frequency: 18
Degree: 90, Frequency: 103
Degree: 288, Frequency: 5
Degree: 222, Frequency: 11
Degree: 104, Frequency: 74
Degree: 38, Frequency: 260
Degree: 236, Frequency: 9
Degree: 170, Frequency: 34
Degree: 302, Frequency: 3
Degree: 120, Frequency: 33
Degree: 54, Frequency: 154
Degree: 252, Frequency: 7
Degree: 186, Frequency: 21
Degree: 384, Frequency: 3
Degree: 318, Frequency: 2
Degree: 386, Frequency: 1
Degree: 72, Frequency: 117
Degree: 584, Frequency: 1
Degree: 6, Frequency: 1596
Degree: 204, Frequency: 9
Degree: 138, Frequency: 47
Degree: 336, Frequency: 1
Degree: 270, Frequency: 3
Degree: 468, Frequency: 1
Degree: 88, Frequency: 82
Degree: 22, Frequency: 414
Degree: 220, Frequency: 7
Degree: 154, Frequency: 23
Degree: 666, Frequency: 1
Degree: 352, Frequency: 1
Degree: 286, Frequency: 6
Degree: 292, Frequency: 2
Degree: 226, Frequency: 10
Degree: 738, Frequency: 1
Degree: 424, Frequency: 1
Degree: 44, Frequency: 227
Degree: 176, Frequency: 19
Degree: 110, Frequency: 47
Degree: 308, Frequency: 1
Degree: 242, Frequency: 4
Degree: 440, Frequency: 1
Degree: 60, Frequency: 156
Degree: 506, Frequency: 1
Degree: 192, Frequency: 15
Degree: 126, Frequency: 34
Degree: 260, Frequency: 6
Degree: 194, Frequency: 5
Degree: 392, Frequency: 2
Degree: 326, Frequency: 2
Degree: 12, Frequency: 810
Degree: 458, Frequency: 1
Degree: 144, Frequency: 34
Degree: 78, Frequency: 109
Degree: 276, Frequency: 6
Degree: 210, Frequency: 22
Degree: 854, Frequency: 1
Degree: 342, Frequency: 1
Degree: 28, Frequency: 292
Degree: 540, Frequency: 1
Degree: 160, Frequency: 41
Degree: 672, Frequency: 1
Degree: 94, Frequency: 88
Degree: 356, Frequency: 3
Degree: 290, Frequency: 4
Degree: 422, Frequency: 2
Degree: 108, Frequency: 50
Degree: 42, Frequency: 190
Degree: 240, Frequency: 10
Degree: 174, Frequency: 22
Degree: 306, Frequency: 6
Degree: 504, Frequency: 1
Degree: 438, Frequency: 2
Degree: 124, Frequency: 35
Degree: 58, Frequency: 154
Degree: 256, Frequency: 6
Degree: 768, Frequency: 1
Degree: 190, Frequency: 14
Degree: 702, Frequency: 1
Degree: 324, Frequency: 5
Degree: 836, Frequency: 1
Degree: 258, Frequency: 7
Degree: 390, Frequency: 1
Degree: 76, Frequency: 95
Degree: 10, Frequency: 986
Degree: 208, Frequency: 7
Degree: 142, Frequency: 23
Degree: 274, Frequency: 5
Degree: 472, Frequency: 1
Degree: 92, Frequency: 90
Degree: 26, Frequency: 317
Degree: 538, Frequency: 1
Degree: 224, Frequency: 13
Degree: 158, Frequency: 24
Degree: 164, Frequency: 23
Degree: 98, Frequency: 65
Degree: 296, Frequency: 6
Degree: 230, Frequency: 6
Degree: 428, Frequency: 3
Degree: 362, Frequency: 1
Degree: 48, Frequency: 152
Degree: 180, Frequency: 12
Degree: 114, Frequency: 43
Degree: 626, Frequency: 1
Degree: 312, Frequency: 3
Degree: 246, Frequency: 10
Degree: 444, Frequency: 2
Degree: 378, Frequency: 1
Degree: 64, Frequency: 133
Degree: 132, Frequency: 43
Degree: 66, Frequency: 101
Degree: 264, Frequency: 11
Degree: 198, Frequency: 13
Degree: 330, Frequency: 2
Degree: 16, Frequency: 565
Degree: 148, Frequency: 37
Degree: 660, Frequency: 1
Degree: 82, Frequency: 104
Degree: 594, Frequency: 1
Degree: 280, Frequency: 4
Degree: 214, Frequency: 13
Degree: 346, Frequency: 4
Degree: 32, Frequency: 267
Degree: 228, Frequency: 10
Degree: 162, Frequency: 28
Degree: 360, Frequency: 2
Degree: 294, Frequency: 3
Degree: 426, Frequency: 4
Degree: 112, Frequency: 52
Degree: 46, Frequency: 195
Degree: 244, Frequency: 4
Degree: 178, Frequency: 5
Degree: 376, Frequency: 2
Degree: 310, Frequency: 4
Degree: 128, Frequency: 39
Degree: 62, Frequency: 140
Degree: 196, Frequency: 11
Degree: 130, Frequency: 36
Degree: 840, Frequency: 1
Degree: 262, Frequency: 3
Degree: 774, Frequency: 1
Degree: 460, Frequency: 1
Degree: 394, Frequency: 1
Degree: 80, Frequency: 98
Degree: 14, Frequency: 705
Degree: 212, Frequency: 8
Degree: 724, Frequency: 1
Degree: 146, Frequency: 31
Degree: 658, Frequency: 1
Degree: 344, Frequency: 3
Degree: 278, Frequency: 8
Degree: 96, Frequency: 92
Degree: 30, Frequency: 289
Degree: 542, Frequency: 2
