Vertex: node:53213, PageRank: 7.573152717631948E-4
Vertex: node:1086, PageRank: 7.190165830542753E-4
Vertex: node:35290, PageRank: 6.831842982175137E-4
Vertex: node:38109, PageRank: 6.448179140393162E-4
Vertex: node:62821, PageRank: 6.280139124640519E-4
Vertex: node:92790, PageRank: 5.767904031049387E-4
Vertex: node:77754, PageRank: 5.562299410565017E-4
Vertex: node:93504, PageRank: 5.524592097550616E-4
Vertex: node:21718, PageRank: 5.390187552593646E-4
Vertex: node:44612, PageRank: 5.317454570599773E-4
Vertex: node:89732, PageRank: 5.240687645526564E-4
Vertex: node:111161, PageRank: 5.240615516146378E-4
Vertex: node:34608, PageRank: 5.205459900145797E-4
Vertex: node:85176, PageRank: 5.185508043858128E-4
Vertex: node:18314, PageRank: 5.136834436448609E-4
Vertex: node:90402, PageRank: 5.134255939396093E-4
Vertex: node:23986, PageRank: 5.051854003266828E-4
Vertex: node:36907, PageRank: 5.017126767664975E-4
Vertex: node:94235, PageRank: 4.97184437398505E-4
Vertex: node:64054, PageRank: 4.64470822190329E-4
Vertex: node:40170, PageRank: 4.548615373173266E-4
Vertex: node:52682, PageRank: 4.5414582519017415E-4
Vertex: node:33040, PageRank: 4.4458593882686575E-4
Vertex: node:28516, PageRank: 4.389817817002402E-4
Vertex: node:50808, PageRank: 4.361123743528664E-4
Vertex: node:47968, PageRank: 4.216844800856926E-4
Vertex: node:49118, PageRank: 4.098380361504905E-4
Vertex: node:84122, PageRank: 4.0947990901104886E-4
Vertex: node:130997, PageRank: 4.0832896852892987E-4
Vertex: node:111385, PageRank: 4.030326656084886E-4
Vertex: node:75223, PageRank: 4.028006079935792E-4
Vertex: node:106497, PageRank: 4.0082554473781556E-4
Vertex: node:48189, PageRank: 3.982254359977108E-4
Vertex: node:95036, PageRank: 3.954925492719245E-4
Vertex: node:115607, PageRank: 3.896043867725664E-4
Vertex: node:37479, PageRank: 3.8026640644674115E-4
Vertex: node:124741, PageRank: 3.798913049309843E-4
Vertex: node:49387, PageRank: 3.748423762386746E-4
Vertex: node:90794, PageRank: 3.736485602982212E-4
Vertex: node:121399, PageRank: 3.7233958772903706E-4
Vertex: node:124529, PageRank: 3.689762579027223E-4
Vertex: node:31756, PageRank: 3.6882309390476407E-4
Vertex: node:35550, PageRank: 3.629569789985387E-4
Vertex: node:85659, PageRank: 3.5697679966404256E-4
Vertex: node:65337, PageRank: 3.553043399770397E-4
Vertex: node:38155, PageRank: 3.5325482658745116E-4
Vertex: node:26590, PageRank: 3.512415451916527E-4
Vertex: node:127886, PageRank: 3.499664371015231E-4
Vertex: node:13557, PageRank: 3.464284192528566E-4
Vertex: node:120425, PageRank: 3.456172296144904E-4
Vertex: node:91586, PageRank: 3.412842949687537E-4
Vertex: node:117350, PageRank: 3.3885394074039066E-4
Vertex: node:81151, PageRank: 3.382877655721295E-4
Vertex: node:114352, PageRank: 3.3636714854529283E-4
Vertex: node:110210, PageRank: 3.3563127151912974E-4
Vertex: node:102277, PageRank: 3.355744558646395E-4
Vertex: node:40495, PageRank: 3.3508504432054885E-4
Vertex: node:85740, PageRank: 3.350081452827268E-4
Vertex: node:53342, PageRank: 3.3343225618965E-4
Vertex: node:115900, PageRank: 3.265437518537732E-4
Vertex: node:43160, PageRank: 3.252198788882154E-4
Vertex: node:10976, PageRank: 3.2517893017820884E-4
Vertex: node:41554, PageRank: 3.242947465984956E-4
Vertex: node:127564, PageRank: 3.222198839135982E-4
Vertex: node:38966, PageRank: 3.1931235160122273E-4
Vertex: node:54681, PageRank: 3.188645813851368E-4
Vertex: node:22979, PageRank: 3.164677823646847E-4
Vertex: node:117579, PageRank: 3.158462708746613E-4
Vertex: node:57772, PageRank: 3.144829450638053E-4
Vertex: node:61290, PageRank: 3.1346899658132377E-4
Vertex: node:74497, PageRank: 3.1219342894990473E-4
Vertex: node:111496, PageRank: 3.1130440899361555E-4
Vertex: node:60957, PageRank: 3.0982254003314306E-4
Vertex: node:114959, PageRank: 3.088433788602956E-4
Vertex: node:128081, PageRank: 3.0771126086140584E-4
Vertex: node:43850, PageRank: 3.0692708195851547E-4
Vertex: node:106274, PageRank: 3.059123285429152E-4
Vertex: node:43601, PageRank: 3.049251581709295E-4
Vertex: node:124983, PageRank: 3.0468818036594083E-4
Vertex: node:27862, PageRank: 3.0216346672480506E-4
Vertex: node:33351, PageRank: 3.0186758009428894E-4
Vertex: node:75847, PageRank: 3.014117904077811E-4
Vertex: node:13353, PageRank: 3.008230080788892E-4
Vertex: node:57150, PageRank: 2.987783750145318E-4
Vertex: node:22523, PageRank: 2.9661591376240154E-4
Vertex: node:104942, PageRank: 2.928820865184423E-4
Vertex: node:72941, PageRank: 2.918597598372475E-4
Vertex: node:46847, PageRank: 2.8990349806395455E-4
Vertex: node:13739, PageRank: 2.8918014226079336E-4
Vertex: node:73703, PageRank: 2.890496651008225E-4
Vertex: node:40978, PageRank: 2.8875849618129187E-4
Vertex: node:68603, PageRank: 2.8745913344646314E-4
Vertex: node:67410, PageRank: 2.8734866954028865E-4
Vertex: node:110902, PageRank: 2.8695419929679946E-4
Vertex: node:56290, PageRank: 2.854973330900976E-4
Vertex: node:45009, PageRank: 2.851238644912075E-4
Vertex: node:74753, PageRank: 2.825045729611689E-4
Vertex: node:19066, PageRank: 2.822273969539568E-4
Vertex: node:88012, PageRank: 2.8142634898053575E-4
Vertex: node:12147, PageRank: 2.8087346654037573E-4
Vertex: node:65114, PageRank: 2.8083740102884347E-4
Vertex: node:39696, PageRank: 2.803299569301203E-4
Vertex: node:86202, PageRank: 2.8026009136757134E-4
Vertex: node:28128, PageRank: 2.8002057814451405E-4
Vertex: node:131813, PageRank: 2.779323032143914E-4
Vertex: node:4636, PageRank: 2.774498131083662E-4
Vertex: node:44183, PageRank: 2.768431063978458E-4
Vertex: node:37653, PageRank: 2.7532357206896447E-4
Vertex: node:75947, PageRank: 2.748127214406854E-4
Vertex: node:66946, PageRank: 2.7406839182600765E-4
Vertex: node:26713, PageRank: 2.7373100689220766E-4
Vertex: node:44866, PageRank: 2.7365406159868554E-4
Vertex: node:32003, PageRank: 2.7360849229040614E-4
Vertex: node:118835, PageRank: 2.7351122959386453E-4
Vertex: node:77480, PageRank: 2.7316324879766583E-4
Vertex: node:34200, PageRank: 2.7160883724874983E-4
Vertex: node:71438, PageRank: 2.712068352584457E-4
Vertex: node:31063, PageRank: 2.691917492359854E-4
Vertex: node:7894, PageRank: 2.678926983148806E-4
Vertex: node:45970, PageRank: 2.674396147648868E-4
Vertex: node:7264, PageRank: 2.67325292501539E-4
Vertex: node:18781, PageRank: 2.6668420454161883E-4
Vertex: node:45530, PageRank: 2.664685662284238E-4
Vertex: node:126679, PageRank: 2.656269169618389E-4
Vertex: node:33500, PageRank: 2.6559519873420003E-4
Vertex: node:54746, PageRank: 2.6482320560809573E-4
Vertex: node:100715, PageRank: 2.638278557988069E-4
Vertex: node:29606, PageRank: 2.632239952551388E-4
Vertex: node:123757, PageRank: 2.629451618178743E-4
Vertex: node:45163, PageRank: 2.6255800474761997E-4
Vertex: node:39659, PageRank: 2.617800416832899E-4
Vertex: node:114095, PageRank: 2.61291297679843E-4
Vertex: node:12997, PageRank: 2.611120873753569E-4
Vertex: node:82704, PageRank: 2.608388685638623E-4
Vertex: node:76213, PageRank: 2.602048869356815E-4
Vertex: node:16158, PageRank: 2.595325024810207E-4
Vertex: node:93271, PageRank: 2.589449814309015E-4
Vertex: node:56525, PageRank: 2.586138987201777E-4
Vertex: node:81761, PageRank: 2.58529085005471E-4
Vertex: node:20405, PageRank: 2.581987197091603E-4
Vertex: node:58749, PageRank: 2.5814234029509586E-4
Vertex: node:78328, PageRank: 2.576595952438214E-4
Vertex: node:41283, PageRank: 2.5754679409986485E-4
Vertex: node:111303, PageRank: 2.571650235760482E-4
Vertex: node:25452, PageRank: 2.568560683453861E-4
Vertex: node:81031, PageRank: 2.5624326135467E-4
Vertex: node:47856, PageRank: 2.5612095088320896E-4
Vertex: node:91401, PageRank: 2.559089441750103E-4
Vertex: node:125512, PageRank: 2.558207898797993E-4
Vertex: node:112605, PageRank: 2.558186822882526E-4
Vertex: node:104749, PageRank: 2.552248660669432E-4
Vertex: node:68018, PageRank: 2.5503200609263625E-4
Vertex: node:60471, PageRank: 2.549280759583997E-4
Vertex: node:93360, PageRank: 2.5479786899608827E-4
Vertex: node:32650, PageRank: 2.54167238645897E-4
Vertex: node:22767, PageRank: 2.5390698800057456E-4
Vertex: node:34454, PageRank: 2.535507954036402E-4
Vertex: node:118261, PageRank: 2.532919672696293E-4
Vertex: node:80186, PageRank: 2.528383292087108E-4
Vertex: node:23211, PageRank: 2.5273179778290426E-4
Vertex: node:66995, PageRank: 2.5265412624705057E-4
Vertex: node:54350, PageRank: 2.5209405111682005E-4
Vertex: node:116846, PageRank: 2.5078892988951543E-4
Vertex: node:55602, PageRank: 2.5071458941710033E-4
Vertex: node:57331, PageRank: 2.50562724521797E-4
Vertex: node:17146, PageRank: 2.495821682493908E-4
Vertex: node:25329, PageRank: 2.4954725441980833E-4
Vertex: node:68363, PageRank: 2.4897500825583126E-4
Vertex: node:129807, PageRank: 2.489260532226765E-4
Vertex: node:17377, PageRank: 2.488500515406166E-4
Vertex: node:50897, PageRank: 2.4878317058264304E-4
Vertex: node:115666, PageRank: 2.4866965457042583E-4
Vertex: node:100394, PageRank: 2.484896344460708E-4
Vertex: node:131704, PageRank: 2.483546470816909E-4
Vertex: node:85451, PageRank: 2.4768776443410246E-4
Vertex: node:4239, PageRank: 2.4755765738165863E-4
Vertex: node:97249, PageRank: 2.47112188854936E-4
Vertex: node:8094, PageRank: 2.469744452506943E-4
Vertex: node:6831, PageRank: 2.4642553160833823E-4
Vertex: node:61077, PageRank: 2.463918863657672E-4
Vertex: node:23070, PageRank: 2.463551780126416E-4
Vertex: node:52028, PageRank: 2.4583942867702116E-4
Vertex: node:100875, PageRank: 2.4577889032421603E-4
Vertex: node:13393, PageRank: 2.457503025516143E-4
Vertex: node:74653, PageRank: 2.457184882107732E-4
Vertex: node:11799, PageRank: 2.4475930889550763E-4
Vertex: node:24500, PageRank: 2.4442761580534007E-4
Vertex: node:88155, PageRank: 2.441021511582075E-4
Vertex: node:100021, PageRank: 2.436493262800477E-4
Vertex: node:58278, PageRank: 2.4322362788658386E-4
Vertex: node:64568, PageRank: 2.4270745811832324E-4
Vertex: node:18396, PageRank: 2.426096807405993E-4
Vertex: node:117255, PageRank: 2.4254821312181296E-4
Vertex: node:83560, PageRank: 2.4220517989157186E-4
Vertex: node:37036, PageRank: 2.421882808742374E-4
Vertex: node:99324, PageRank: 2.4212860245150948E-4
Vertex: node:100536, PageRank: 2.4151417278386314E-4
Vertex: node:11318, PageRank: 2.412501387262983E-4
Vertex: node:34387, PageRank: 2.4079470477117278E-4
Vertex: node:19204, PageRank: 2.4067610900029414E-4
Vertex: node:4786, PageRank: 2.404740203931481E-4
Vertex: node:109670, PageRank: 2.397852367597655E-4
Vertex: node:13440, PageRank: 2.397118870264328E-4
Vertex: node:37907, PageRank: 2.3931280285201793E-4
Vertex: node:116658, PageRank: 2.390758483698808E-4
Vertex: node:112157, PageRank: 2.3750249528003034E-4
Vertex: node:722, PageRank: 2.373464908778525E-4
Vertex: node:11513, PageRank: 2.371140710465434E-4
Vertex: node:35777, PageRank: 2.3694728776258697E-4
Vertex: node:116284, PageRank: 2.3670609187233737E-4
Vertex: node:79712, PageRank: 2.3597401603421905E-4
Vertex: node:3634, PageRank: 2.3570583861556624E-4
Vertex: node:87885, PageRank: 2.3556264355768794E-4
Vertex: node:103169, PageRank: 2.3533996341264812E-4
Vertex: node:89969, PageRank: 2.3502779865205702E-4
Vertex: node:132445, PageRank: 2.3502084851860757E-4
Vertex: node:5335, PageRank: 2.342319770939465E-4
Vertex: node:69582, PageRank: 2.3414759346301336E-4
Vertex: node:19674, PageRank: 2.34099304011941E-4
Vertex: node:35881, PageRank: 2.334250235298435E-4
Vertex: node:51933, PageRank: 2.3337268052021993E-4
Vertex: node:13944, PageRank: 2.3323832499953608E-4
Vertex: node:28377, PageRank: 2.3286116040792892E-4
Vertex: node:20965, PageRank: 2.327389622040405E-4
Vertex: node:39577, PageRank: 2.327083343333931E-4
Vertex: node:44322, PageRank: 2.3235144233489018E-4
Vertex: node:67299, PageRank: 2.322710441728579E-4
Vertex: node:61157, PageRank: 2.3199029986139988E-4
Vertex: node:75690, PageRank: 2.319490567569703E-4
Vertex: node:129313, PageRank: 2.3193680107783796E-4
Vertex: node:113528, PageRank: 2.3179463592854947E-4
Vertex: node:2417, PageRank: 2.313318041390894E-4
Vertex: node:71218, PageRank: 2.3111385671394395E-4
Vertex: node:24261, PageRank: 2.3109004637268603E-4
Vertex: node:71040, PageRank: 2.3107013602625452E-4
Vertex: node:83653, PageRank: 2.3102343383791886E-4
Vertex: node:11257, PageRank: 2.3097580332386122E-4
Vertex: node:105680, PageRank: 2.309460482249026E-4
Vertex: node:14063, PageRank: 2.309316085165451E-4
Vertex: node:74570, PageRank: 2.304464005583648E-4
Vertex: node:10639, PageRank: 2.300995842697861E-4
Vertex: node:14149, PageRank: 2.295761529296521E-4
