Vertex: node:64789, Triagle Count: 1
Vertex: node:113287, Triagle Count: 126
Vertex: node:115684, Triagle Count: 415
Vertex: node:46663, Triagle Count: 37
Vertex: node:14220, Triagle Count: 3
Vertex: node:110529, Triagle Count: 14
Vertex: node:109415, Triagle Count: 530
Vertex: node:19383, Triagle Count: 723
Vertex: node:12089, Triagle Count: 6
Vertex: node:114352, Triagle Count: 2389
Vertex: node:11725, Triagle Count: 149
Vertex: node:21384, Triagle Count: 1
Vertex: node:41767, Triagle Count: 53
Vertex: node:118184, Triagle Count: 890
Vertex: node:45331, Triagle Count: 19
Vertex: node:48090, Triagle Count: 67
Vertex: node:115550, Triagle Count: 6
Vertex: node:117953, Triagle Count: 563
Vertex: node:16755, Triagle Count: 4
Vertex: node:20185, Triagle Count: 10
Vertex: node:113288, Triagle Count: 1
Vertex: node:12924, Triagle Count: 123
Vertex: node:109547, Triagle Count: 28
Vertex: node:107019, Triagle Count: 1
Vertex: node:116881, Triagle Count: 820
Vertex: node:41899, Triagle Count: 42
Vertex: node:39329, Triagle Count: 1
Vertex: node:13022, Triagle Count: 190
Vertex: node:48091, Triagle Count: 1
Vertex: node:12925, Triagle Count: 15
Vertex: node:70794, Triagle Count: 6
Vertex: node:115420, Triagle Count: 145
Vertex: node:115553, Triagle Count: 21
Vertex: node:16885, Triagle Count: 28
Vertex: node:16752, Triagle Count: 45
Vertex: node:132206, Triagle Count: 284
Vertex: node:20055, Triagle Count: 435
Vertex: node:118182, Triagle Count: 28
Vertex: node:11727, Triagle Count: 47
Vertex: node:45462, Triagle Count: 19
Vertex: node:65978, Triagle Count: 1
Vertex: node:45595, Triagle Count: 3
Vertex: node:115552, Triagle Count: 387
Vertex: node:16886, Triagle Count: 1
Vertex: node:14221, Triagle Count: 55
Vertex: node:22586, Triagle Count: 11
Vertex: node:14354, Triagle Count: 351
Vertex: node:120491, Triagle Count: 4
Vertex: node:11728, Triagle Count: 10
Vertex: node:86202, Triagle Count: 21
Vertex: node:65713, Triagle Count: 264
Vertex: node:39327, Triagle Count: 4
Vertex: node:116883, Triagle Count: 24
Vertex: node:88734, Triagle Count: 3
Vertex: node:121691, Triagle Count: 183
Vertex: node:113283, Triagle Count: 130
Vertex: node:12927, Triagle Count: 595
Vertex: node:68213, Triagle Count: 2
Vertex: node:111723, Triagle Count: 827
Vertex: node:119253, Triagle Count: 1021
Vertex: node:71990, Triagle Count: 1
Vertex: node:16883, Triagle Count: 4
Vertex: node:11729, Triagle Count: 3
Vertex: node:67147, Triagle Count: 5
Vertex: node:65718, Triagle Count: 8
Vertex: node:13025, Triagle Count: 21
Vertex: node:15555, Triagle Count: 68
Vertex: node:23789, Triagle Count: 119
Vertex: node:64784, Triagle Count: 6
Vertex: node:87667, Triagle Count: 3
Vertex: node:20181, Triagle Count: 15
Vertex: node:12928, Triagle Count: 6
Vertex: node:119254, Triagle Count: 6
Vertex: node:16884, Triagle Count: 36
Vertex: node:16751, Triagle Count: 56
Vertex: node:114482, Triagle Count: 3
Vertex: node:67148, Triagle Count: 3
Vertex: node:106, Triagle Count: 19
Vertex: node:69676, Triagle Count: 1
Vertex: node:43066, Triagle Count: 344
Vertex: node:69410, Triagle Count: 12
Vertex: node:112087, Triagle Count: 3
Vertex: node:26151, Triagle Count: 28
Vertex: node:26150, Triagle Count: 153
Vertex: node:121693, Triagle Count: 1
Vertex: node:70665, Triagle Count: 96
Vertex: node:14359, Triagle Count: 308
Vertex: node:20184, Triagle Count: 1
Vertex: node:16881, Triagle Count: 10
Vertex: node:24853, Triagle Count: 18
Vertex: node:116880, Triagle Count: 144
Vertex: node:120494, Triagle Count: 16
Vertex: node:114483, Triagle Count: 36
Vertex: node:110788, Triagle Count: 66
Vertex: node:21382, Triagle Count: 114
Vertex: node:60958, Triagle Count: 6
Vertex: node:111986, Triagle Count: 10
Vertex: node:110523, Triagle Count: 1
Vertex: node:110789, Triagle Count: 3
Vertex: node:36825, Triagle Count: 1
Vertex: node:90072, Triagle Count: 1
Vertex: node:85009, Triagle Count: 34
Vertex: node:112085, Triagle Count: 824
Vertex: node:62257, Triagle Count: 100
Vertex: node:60957, Triagle Count: 238
Vertex: node:83964, Triagle Count: 2
Vertex: node:89093, Triagle Count: 1
Vertex: node:48931, Triagle Count: 4
Vertex: node:49163, Triagle Count: 7
Vertex: node:49296, Triagle Count: 1
Vertex: node:105849, Triagle Count: 207
Vertex: node:116757, Triagle Count: 1
Vertex: node:64780, Triagle Count: 1
Vertex: node:122893, Triagle Count: 198
Vertex: node:45208, Triagle Count: 3
Vertex: node:108342, Triagle Count: 7
Vertex: node:115558, Triagle Count: 3
Vertex: node:115425, Triagle Count: 193
Vertex: node:49297, Triagle Count: 1
Vertex: node:16880, Triagle Count: 66
Vertex: node:50278, Triagle Count: 12
Vertex: node:121694, Triagle Count: 1
Vertex: node:46404, Triagle Count: 2
Vertex: node:124196, Triagle Count: 88
Vertex: node:109672, Triagle Count: 153
Vertex: node:82767, Triagle Count: 24
Vertex: node:107011, Triagle Count: 1
Vertex: node:82501, Triagle Count: 1
Vertex: node:102, Triagle Count: 11
Vertex: node:116756, Triagle Count: 6
Vertex: node:45207, Triagle Count: 24
Vertex: node:47735, Triagle Count: 17
Vertex: node:108210, Triagle Count: 1303
Vertex: node:87793, Triagle Count: 7
Vertex: node:106913, Triagle Count: 287
Vertex: node:11851, Triagle Count: 1273
Vertex: node:121697, Triagle Count: 1
Vertex: node:42709, Triagle Count: 4
Vertex: node:89091, Triagle Count: 26
Vertex: node:122895, Triagle Count: 6
Vertex: node:39451, Triagle Count: 6
Vertex: node:10785, Triagle Count: 47
Vertex: node:50010, Triagle Count: 120
Vertex: node:49033, Triagle Count: 3
Vertex: node:46668, Triagle Count: 219
Vertex: node:48934, Triagle Count: 1
Vertex: node:121696, Triagle Count: 5
Vertex: node:116758, Triagle Count: 561
Vertex: node:105979, Triagle Count: 25
Vertex: node:47999, Triagle Count: 21
Vertex: node:108211, Triagle Count: 190
Vertex: node:51474, Triagle Count: 53
Vertex: node:122894, Triagle Count: 1
Vertex: node:60820, Triagle Count: 3
Vertex: node:12085, Triagle Count: 3
Vertex: node:52412, Triagle Count: 145
Vertex: node:109544, Triagle Count: 19
Vertex: node:124191, Triagle Count: 1
Vertex: node:4299, Triagle Count: 5
Vertex: node:23781, Triagle Count: 1
Vertex: node:496, Triagle Count: 1
Vertex: node:116886, Triagle Count: 15
Vertex: node:49292, Triagle Count: 28
Vertex: node:86596, Triagle Count: 1
Vertex: node:21388, Triagle Count: 52
Vertex: node:47865, Triagle Count: 90
Vertex: node:122897, Triagle Count: 95
Vertex: node:108345, Triagle Count: 4
Vertex: node:108212, Triagle Count: 3
Vertex: node:77825, Triagle Count: 3
Vertex: node:51215, Triagle Count: 3
Vertex: node:85397, Triagle Count: 9
Vertex: node:115421, Triagle Count: 946
Vertex: node:20056, Triagle Count: 78
Vertex: node:106916, Triagle Count: 249
Vertex: node:46400, Triagle Count: 220
Vertex: node:22584, Triagle Count: 27
Vertex: node:46533, Triagle Count: 1
Vertex: node:12086, Triagle Count: 1
Vertex: node:2736, Triagle Count: 622
Vertex: node:116885, Triagle Count: 781
Vertex: node:47731, Triagle Count: 13
Vertex: node:108213, Triagle Count: 3
Vertex: node:92477, Triagle Count: 1
Vertex: node:44135, Triagle Count: 64
Vertex: node:77959, Triagle Count: 111
Vertex: node:46532, Triagle Count: 20
Vertex: node:46798, Triagle Count: 55
Vertex: node:109679, Triagle Count: 3
Vertex: node:109546, Triagle Count: 1
Vertex: node:115557, Triagle Count: 6
Vertex: node:38257, Triagle Count: 2
Vertex: node:3803, Triagle Count: 19
Vertex: node:2738, Triagle Count: 15
Vertex: node:86332, Triagle Count: 2
Vertex: node:11856, Triagle Count: 17
Vertex: node:49294, Triagle Count: 3
Vertex: node:106918, Triagle Count: 30
Vertex: node:122899, Triagle Count: 62
Vertex: node:51211, Triagle Count: 5
Vertex: node:45200, Triagle Count: 78
Vertex: node:120103, Triagle Count: 23
Vertex: node:494, Triagle Count: 262
Vertex: node:3937, Triagle Count: 5
Vertex: node:13152, Triagle Count: 22
Vertex: node:85399, Triagle Count: 1
Vertex: node:46664, Triagle Count: 6
Vertex: node:109678, Triagle Count: 82
Vertex: node:46797, Triagle Count: 354
Vertex: node:115556, Triagle Count: 12
Vertex: node:11723, Triagle Count: 1
Vertex: node:109545, Triagle Count: 3
Vertex: node:55040, Triagle Count: 1
Vertex: node:84903, Triagle Count: 1
Vertex: node:124190, Triagle Count: 9
Vertex: node:23780, Triagle Count: 36
Vertex: node:50148, Triagle Count: 20
Vertex: node:116754, Triagle Count: 9
Vertex: node:11857, Triagle Count: 10
Vertex: node:111729, Triagle Count: 19
Vertex: node:104522, Triagle Count: 135
Vertex: node:71728, Triagle Count: 1
Vertex: node:33362, Triagle Count: 208
Vertex: node:102125, Triagle Count: 589
Vertex: node:49159, Triagle Count: 6
Vertex: node:76621, Triagle Count: 6
Vertex: node:76888, Triagle Count: 38
Vertex: node:103323, Triagle Count: 6
Vertex: node:101055, Triagle Count: 28
Vertex: node:28545, Triagle Count: 1
Vertex: node:103589, Triagle Count: 1747
